time,amount,exchange_type,transaction_times,price
1563397127.0,2526883.6211350006,0.0,94.0,1.001
1563398082.0,1914339.5298770003,0.0,105.0,1.001
1563399013.0,1435346.006233,0.0,87.0,1.001
1563399528.0,784813.90635,0.0,56.0,1.001
1563399773.0,136730.30366,0.0,24.0,1.001
1563399866.0,25915.40856,0.0,9.0,1.001
1563400937.0,322623.73383930995,0.0,115.0,1.001
1563401616.0,243480.56116999994,0.0,79.0,1.001
1563401872.0,203368.52138781,0.0,38.0,1.001
1563402032.0,53531.682745000006,0.0,20.0,1.001
1563402251.0,62967.75122600001,0.0,34.0,1.001
1563402255.0,2557.31,0.0,1.0,1.001
1563402407.0,236726.400615,0.0,25.0,1.001
1563402627.0,1080673.5149441,0.0,22.0,1.001
1563404427.0,574410.4984525801,0.0,207.0,1.001
1563404677.0,817243.0472580001,0.0,54.0,1.001
1563405946.0,662412.5396744801,0.0,166.0,1.001
1563406112.0,122081.21677200001,0.0,20.0,1.001
1563406385.0,208579.658988,0.0,53.0,1.001
1563407164.0,1219404.1267166003,0.0,103.0,1.001
1563407314.0,375309.2937941501,0.0,41.0,1.001
1563409031.0,1616176.21132604,0.0,235.0,1.002
1563409327.0,380227.3495785201,0.0,62.0,1.002
1563409566.0,138075.06117417003,0.0,39.0,1.002
1563412691.0,3125532.305617982,0.0,554.0,1.002
1563413434.0,1022214.2110979201,0.0,167.0,1.002
1563413745.0,270525.1449469999,0.0,57.0,1.002
1563414612.0,1555604.112204,0.0,194.0,1.002
1563414807.0,3436620.0449030404,0.0,217.0,1.001
1563415575.0,1699441.3775110596,0.0,214.0,1.002
1563416482.0,1211583.9177391808,0.0,230.0,1.002
1563417397.0,1400894.5634960993,0.0,229.0,1.002
1563418861.0,3486589.923668,0.0,444.0,1.002
1563419103.0,1247159.1147061896,0.0,175.0,1.002
1563420468.0,4057527.5661269207,0.0,422.0,1.002
1563420690.0,1718314.8089418695,0.0,104.0,1.001
1563420991.0,6648374.444558164,0.0,464.0,1.001
1563422135.0,2336290.2411517794,0.0,358.0,1.002
1563422297.0,1663130.1624049605,0.0,107.0,1.0
1563422981.0,810689.2177152102,0.0,183.0,1.001
1563425775.0,1962822.7406049592,0.0,391.0,1.002
