blocktime,price
1563227837.0,0.9986
1563228299.0,0.9986
1563230171.0,0.9986
1563231274.0,0.9986
1563232323.0,0.9986
1563233130.0,0.9986
1563234585.0,0.9986
1563236109.0,1.0
1563237896.0,1.0
1563238219.0,1.0
1563241279.0,1.0
1563242309.0,1.0
1563242540.0,1.0
1563242681.0,1.0
1563249035.0,1.0
1563249057.0,1.0
1563249645.0,1.0
1563251118.0,1.0
1563251754.0,1.0
1563253549.0,1.0
1563254408.0,1.0
1563255181.0,1.0
1563256275.0,1.0
1563257867.0,1.0
1563258894.0,1.0
1563260138.0,1.0
1563261508.0,1.0
1563262589.0,1.0
1563263188.0,1.0
1563264011.0,1.0
1563264463.0,1.0
1563265001.0,1.0
1563267595.0,1.0
1563267876.0,1.0
1563268924.0,1.0
1563269729.0,1.0
1563270988.0,1.0
1563271673.0,1.0
1563272707.0,1.0
1563273138.0,1.0
1563273271.0,1.0
1563274097.0,1.0
1563277608.0,1.0
1563279997.0,1.0
1563282838.0,1.0
1563283009.0,1.0
1563283209.0,1.0
1563284538.0,1.0
1563284793.0,1.0
1563284978.0,1.0
1563286481.0,1.0
1563286913.0,1.0
1563287524.0,1.0
1563287606.0,1.0
1563288902.0,1.0
1563289552.0,1.0
1563290392.0,1.0
1563294003.0,1.0
1563294053.0,1.0
1563294767.0,1.0
1563295809.0,1.0
1563296099.0,1.0
1563296828.0,1.0
1563299969.0,1.0
1563300315.0,1.0
1563301486.0,1.0
1563302198.0,1.0
1563304206.0,1.0
1563304645.0,1.0
1563306861.0,1.0
1563307368.0,1.0
1563307679.0,1.0
1563308286.0,1.0
1563309005.0,1.0
1563309258.0,1.0
1563310495.0,1.0
1563310952.0,1.0
1563311721.0,1.0
1563311877.0,1.0
1563311986.0,1.0
1563312713.0,1.0
1563313914.0,1.0
1563314664.0,1.0
1563316884.0,1.0
1563317174.0,1.0
1563318181.0,1.0
1563320614.0,1.0
1563324826.0,1.001
1563326898.0,1.001
1563327395.0,1.001
1563328871.0,1.001
1563330337.0,1.001
1563330436.0,1.001
1563330790.0,1.001
1563330816.0,1.001
1563331541.0,1.001
1563331835.0,1.001
1563332749.0,1.001
1563333120.0,1.001
1563333490.0,1.001
1563335477.0,1.001
1563335878.0,1.001
1563336082.0,1.001
1563336672.0,1.001
1563337165.0,1.001
1563337298.0,1.001
1563338799.0,1.001
1563339562.0,1.001
1563339939.0,1.001
1563340175.0,1.001
1563340522.0,1.001
1563346061.0,1.001
1563346361.0,1.001
1563347672.0,1.001
1563347808.0,1.001
1563349628.0,1.001
1563349682.0,1.001
1563349809.0,1.001
1563350424.0,1.001
1563351819.0,1.001
1563352597.0,1.001
1563352941.0,1.001
1563352962.0,1.001
1563354006.0,1.001
1563354071.0,1.001
1563354103.0,1.001
